Record_ID,Order_ID,Production_Date,Plant_Location,Machine_ID,Machine_Type,Machine_Age_Years,Shift,Operator_ID,Supervisor_Name,Product_Line,Raw_Material,Supplier_Name,Batch_Size,Planned_Quantity,Actual_Quantity_Produced,Defect_Count,Quality_Grade,Inspection_Passed,Downtime_Minutes,Cycle_Time_Sec,Temperature_C,Humidity_Pct,Vibration_mm_s,Energy_Consumption_kWh,Unit_Cost_USD,Scrap_Cost_USD,Labor_Hours,OEE_Percent,Last_Maintenance_Days_Ago,Maintenance_Status,Remarks,Yield_Percent,Defect_Rate_Percent
25,ORD-61789,2026-04-20,Plant B,MC-013,Assembly Line,12.7,Evening,OP0076,Unknown,Packaging Unit,Steel,Unknown,200,314,290,5,B,Yes,16.7,55.67,63.0,56.1,2.12,122.29,33.84,145.29,7.11,78.0,24,Due,Line stopped briefly,92.36,1.72
26,ORD-64123,2025-10-30,Plant B,MC-009,CNC Mill,14.0,Night,OP0056,A. Iyer,Electronics Housing,Aluminum,SteelCorp Ltd,300,562,526,13,B,Yes,5.1,33.68,75.7,53.6,0.74,122.77,4.91,61.64,8.13,71.1,27,OK,Line stopped briefly,93.59,2.47
27,ORD-25647,2026-05-20,Plant A,MC-031,Welding Robot,7.0,Morning,OP0062,L. D'Souza,Industrial Fastener,Unknown,SteelCorp Ltd,100,402,345,8,A+,Yes,8.5,60.5,71.8,42.7,2.67,51.68,22.57,111.26,8.97,46.1,63,Overdue,Routine check,85.82,2.32
28,ORD-22990,2025-11-22,Plant E,MC-031,Laser Cutter,3.0,Night,OP0036,L. D'Souza,Medical Device Part,Aluminum,SteelCorp Ltd,200,495,471,9,B,Yes,2.1,57.42,64.2,45.4,2.77,163.9,27.0,204.92,6.74,71.8,12,Due,Material shortage,95.15,1.91
29,ORD-10423,2025-10-07,Plant A,MC-021,3D Printer,13.8,Evening,OP0075,S. Kumar,Home Appliance Component,Steel,Precision Components Co,250,480,424,8,C,No,0.2,37.89,76.5,51.3,3.27,166.85,20.27,141.04,6.18,52.0,15,Not Scheduled,Routine check,88.33,1.89
30,ORD-21869,2025-12-15,Plant A,MC-029,Stamping Press,9.6,Evening,Unknown,Unknown,Industrial Fastener,Aluminum,Global Alloys,300,536,463,16,Reject,Yes,37.5,48.96,72.9,58.2,1.46,147.77,9.67,133.45,9.95,56.1,73,Not Scheduled,unknown issue,86.38,3.46
31,ORD-30898,2025-10-26,Plant E,MC-034,3D Printer,8.3,Night,OP0039,R. Sharma,Home Appliance Component,Polycarbonate,SteelCorp Ltd,300,663,619,15,B,Not Recorded,10.3,55.29,65.2,41.9,4.83,140.91,23.86,326.13,8.12,68.5,85,OK,Routine check,93.36,2.42
32,ORD-27713,2026-05-13,Plant A,MC-022,CNC Lathe,3.0,Evening,OP0074,M. Naidu,Industrial Fastener,Aluminum,Poly Materials Inc,50,458,341,8,A,No,22.4,52.16,70.7,29.3,1.85,138.66,20.23,118.53,9.03,55.5,28,Not Scheduled,unknown issue,74.45,2.35
33,ORD-77739,2026-05-27,Plant C,MC-004,Welding Robot,0.9,Morning,OP0087,A. Iyer,Consumer Plastics,Steel,Unknown,50,491,457,8,A+,Yes,18.8,65.38,60.4,54.5,2.71,143.29,27.77,144.52,6.61,87.0,13,OK,No Remarks,93.08,1.75
34,ORD-60353,2026-06-21,Plant C,MC-026,CNC Mill,1.5,Morning,OP0069,K. Verma,Aerospace Component,Polycarbonate,Global Alloys,300,480,454,8,A+,No,51.1,45.2,75.1,60.6,2.31,78.15,4.19,24.46,5.31,55.9,1,OK,Material shortage,94.58,1.76
35,ORD-63967,2026-07-04,Plant B,MC-029,Welding Robot,10.8,Evening,Unknown,Unknown,Consumer Plastics,Steel,Poly Materials Inc,250,522,504,10,B,No,47.2,37.1,72.1,33.2,2.18,135.64,7.45,66.97,6.94,75.5,26,Not Scheduled,No Remarks,96.55,1.98
36,ORD-30484,2026-07-06,Plant A,MC-032,Injection Molder,9.9,Morning,OP0063,M. Naidu,Automotive Parts,Steel,SteelCorp Ltd,150,628,662,20,A,No,22.0,43.3,62.8,49.9,1.41,116.42,36.99,474.6,6.91,70.1,16,OK,Late shift start,105.41,3.02
37,ORD-58908,2026-04-14,Plant C,MC-020,Conveyor Unit,4.9,Night,OP0060,P. Rao,Home Appliance Component,Polycarbonate,Unknown,200,704,592,14,A+,No,0.7,41.67,58.7,42.6,2.05,143.09,15.68,164.72,10.38,87.1,29,Not Scheduled,customer complaint logged,84.09,2.36
38,ORD-64358,2026-04-27,Plant B,MC-034,3D Printer,10.6,Morning,OP0046,A. Iyer,Metal Bracket,Polycarbonate,Poly Materials Inc,200,368,367,9,Not Graded,Yes,19.6,27.45,70.6,1.6,3.15,81.37,29.87,243.07,7.52,81.4,51,Not Scheduled,No Remarks,99.73,2.45
39,ORD-46582,2026-04-04,Plant B,MC-039,Press Brake,14.3,Night,OP0073,K. Verma,Aerospace Component,Steel,Global Alloys,100,320,281,4,A+,No,550.0,46.89,62.1,35.8,1.54,106.51,43.06,169.1,9.85,53.4,71,OK,Power fluctuation,87.81,1.42
40,ORD-20929,2026-02-03,Plant A,MC-030,Injection Molder,14.3,Morning,OP0096,N. Fernandes,Medical Device Part,ABS Plastic,SteelCorp Ltd,200,444,376,11,B,Yes,0.4,49.79,56.1,42.1,3.77,118.0,28.14,162.68,9.95,58.1,5,OK,Power fluctuation,84.68,2.93
41,ORD-91075,2025-10-20,Plant C,MC-019,Injection Molder,14.0,Night,OP0018,N. Fernandes,Electronics Housing,Polycarbonate,Poly Materials Inc,100,535,505,9,A+,Not Recorded,21.5,37.94,76.3,59.8,2.38,100.04,33.5,295.38,6.89,78.7,26,Due,No Remarks,94.39,1.78
42,ORD-15156,2025-10-16,Plant A,MC-037,Stamping Press,13.6,Unknown,OP0051,P. Rao,Consumer Plastics,Aluminum,Unknown,150,589,551,11,A,Not Recorded,24.5,65.23,64.6,49.9,4.33,134.82,29.83,296.34,9.54,62.9,30,Not Scheduled,Power fluctuation,93.55,2.0
43,ORD-61288,2026-07-23,Plant D,MC-022,Welding Robot,7.0,Evening,OP0081,K. Verma,Consumer Plastics,Copper,SteelCorp Ltd,50,451,412,5,A+,Not Recorded,33.7,43.66,76.5,37.1,1.65,107.24,4.66,20.45,7.69,74.6,37,OK,Late shift start,91.35,1.21
44,ORD-82580,2026-02-03,Plant B,MC-016,Conveyor Unit,9.0,Night,OP0090,A. Iyer,Home Appliance Component,ABS Plastic,MetalWorks Pvt Ltd,100,594,554,5,B,Yes,27.7,58.59,50.0,40.0,3.67,107.52,16.78,62.03,6.64,88.9,6,Not Scheduled,Line stopped briefly,93.27,0.9
45,ORD-85660,2026-04-16,Plant A,MC-022,Press Brake,1.9,Morning,OP0098,P. Rao,Medical Device Part,ABS Plastic,Unknown,300,530,416,4,B,Yes,41.2,10.76,65.2,63.5,2.77,164.34,19.37,46.02,6.23,83.1,24,Overdue,Late shift start,78.49,0.96
46,ORD-64708,2026-03-08,Plant A,MC-003,Stamping Press,1.7,Night,OP0058,A. Iyer,Medical Device Part,Copper,Unknown,150,453,424,8,A,Yes,57.6,56.08,76.3,49.4,2.88,76.87,11.69,90.61,9.91,62.7,85,Due,Late shift start,93.6,1.89
47,ORD-96766,2026-03-08,Plant C,MC-013,CNC Lathe,3.3,Morning,OP0074,M. Naidu,Electronics Housing,Steel,SteelCorp Ltd,250,466,486,13,B,Yes,26.6,61.11,65.5,60.5,0.5,157.89,30.42,365.64,5.65,73.5,67,OK,Routine check,104.29,2.67
48,ORD-34625,2026-03-16,Plant E,MC-027,CNC Mill,8.0,Evening,OP0073,N. Fernandes,Consumer Plastics,Copper,Precision Components Co,100,772,616,12,A+,Yes,34.6,46.31,51.1,46.1,2.54,43.28,30.5,341.04,9.07,85.2,3,Due,No Remarks,79.79,1.95
49,ORD-95877,2026-07-21,Plant C,MC-038,CNC Lathe,5.9,Morning,OP0051,Unknown,Industrial Fastener,Aluminum,MetalWorks Pvt Ltd,100,440,433,10,Not Graded,Not Recorded,18.1,33.97,58.1,36.8,4.75,105.55,33.73,324.78,9.2,97.1,45,Overdue,Power fluctuation,98.41,2.31
50,ORD-52762,2026-06-09,Plant A,MC-010,Welding Robot,7.8,Evening,OP0115,K. Verma,Medical Device Part,Aluminum,Unknown,150,825,749,14,B,Not Recorded,25.4,62.9,78.5,42.5,1.92,155.12,3.31,29.93,8.29,67.7,46,Overdue,customer complaint logged,90.79,1.87
51,ORD-86095,2026-04-21,Plant C,MC-033,Press Brake,4.7,Night,OP0107,P. Rao,Packaging Unit,Polycarbonate,Global Alloys,150,452,400,8,B,Yes,49.6,49.25,75.0,46.7,1.99,124.67,36.61,174.69,4.73,69.8,3,OK,No Remarks,88.5,2.0
52,ORD-71153,2025-11-23,Plant D,MC-036,Press Brake,10.4,Morning,OP0048,P. Rao,Electronics Housing,Copper,Poly Materials Inc,100,565,524,9,A,No,15.7,41.34,66.2,40.2,3.21,126.79,29.65,167.35,8.73,73.4,30,Overdue,customer complaint logged,92.74,1.72
53,ORD-44676,2026-08-28,Plant B,MC-006,CNC Mill,6.6,Morning,OP0114,M. Naidu,Electronics Housing,ABS Plastic,SteelCorp Ltd,150,302,283,9,Not Graded,Not Recorded,28.9,33.59,67.9,47.1,2.05,182.76,18.09,118.55,4.07,83.4,33,Not Scheduled,customer complaint logged,93.71,3.18
54,ORD-83048,2026-07-24,Plant B,MC-006,Welding Robot,5.3,Evening,OP0070,K. Verma,Industrial Fastener,ABS Plastic,Global Alloys,150,804,781,14,B,Yes,41.8,38.01,75.7,17.2,1.8,141.98,12.05,147.96,10.5,66.2,21,Not Scheduled,unknown issue,97.14,1.79
55,ORD-11856,2025-11-03,Plant E,MC-032,Conveyor Unit,7.8,Morning,OP0020,Unknown,Consumer Plastics,Aluminum,Global Alloys,250,592,555,9,A,Yes,54.8,35.78,74.9,46.4,0.79,101.35,11.08,87.43,8.02,63.7,1,Scheduled,Late shift start,93.75,1.62
56,ORD-98842,2026-04-04,Plant B,MC-010,Press Brake,10.6,Morning,OP0014,A. Iyer,Industrial Fastener,Unknown,Poly Materials Inc,200,615,538,11,B,No,0.3,42.77,61.4,68.7,0.07,219.17,10.54,60.75,6.75,73.3,47,Not Scheduled,Material shortage,87.48,2.04
57,ORD-39423,2026-09-04,Plant A,MC-015,Laser Cutter,0.8,Morning,OP0073,A. Iyer,Automotive Parts,Aluminum,Global Alloys,100,496,430,8,Not Graded,Yes,8.9,37.92,79.7,17.3,3.71,100.95,30.02,139.6,6.28,96.0,19,OK,Line stopped briefly,86.69,1.86
58,ORD-20919,2026-07-10,Plant B,MC-040,CNC Lathe,6.0,Morning,OP0061,M. Naidu,Packaging Unit,Steel,Precision Components Co,200,483,434,8,B,Yes,1.2,40.22,58.4,26.5,4.01,147.84,21.64,168.18,9.33,77.5,33,Not Scheduled,Power fluctuation,89.86,1.84
59,ORD-26548,2026-01-25,Plant C,MC-028,Assembly Line,3.5,Morning,OP0109,K. Verma,Automotive Parts,Aluminum,Poly Materials Inc,300,402,346,8,A,Not Recorded,8.8,38.93,67.1,31.5,1.93,77.78,2.54,17.92,8.31,90.4,1,Not Scheduled,Line stopped briefly,86.07,2.31
60,ORD-63559,2026-01-22,Plant E,MC-020,Laser Cutter,2.3,Morning,OP0012,K. Verma,Packaging Unit,Copper,Global Alloys,200,574,659,14,A,Yes,51.9,35.72,74.2,40.6,1.43,94.34,44.97,598.58,7.07,100.0,22,Due,No Remarks,114.81,2.12
61,ORD-15613,2026-06-23,Plant D,MC-016,CNC Mill,11.1,Evening,OP0079,S. Kumar,Home Appliance Component,Steel,Unknown,300,546,468,11,B,Not Recorded,9.7,46.79,76.2,64.7,0.21,120.9,36.16,301.32,8.99,56.4,37,OK,unknown issue,85.71,2.35
62,ORD-90065,2025-10-28,Plant B,MC-022,Stamping Press,4.1,Night,OP0015,A. Iyer,Metal Bracket,Steel,MetalWorks Pvt Ltd,100,434,433,4,Reject,Yes,34.8,44.8,70.3,40.5,4.37,84.36,5.5,12.81,7.58,50.8,23,Scheduled,customer complaint logged,99.77,0.92
63,ORD-74007,2025-11-27,Plant B,MC-026,CNC Mill,12.7,Morning,OP0048,R. Sharma,Medical Device Part,Aluminum,Unknown,100,496,463,3,A+,No,64.5,57.12,67.3,43.0,1.61,70.61,7.69,21.2,5.64,79.5,0,Not Scheduled,unknown issue,93.35,0.65
64,ORD-36179,2026-03-15,Plant E,MC-016,CNC Mill,3.4,Morning,OP0054,A. Iyer,Packaging Unit,Polycarbonate,SteelCorp Ltd,100,264,214,2,B,No,59.2,51.02,63.0,36.4,2.09,80.57,8.61,11.38,7.35,81.2,25,OK,unknown issue,81.06,0.93
65,ord4287,2025-12-31,Plant B,MC-027,Press Brake,13.1,Evening,OP0010,Unknown,Metal Bracket,Aluminum,Global Alloys,150,196,177,6,A,Yes,14.2,38.19,54.3,47.9,2.45,181.92,7.8,41.5,7.41,86.1,37,Overdue,Power fluctuation,90.31,3.39
66,ORD-89244,2026-06-12,Plant C,MC-012,3D Printer,8.3,Night,OP0077,K. Verma,Home Appliance Component,Copper,Precision Components Co,100,350,293,5,B,No,50.5,48.25,53.5,51.1,0.59,169.24,33.05,84.07,7.63,91.3,29,Overdue,No Remarks,83.71,1.71
68,ORD-66980,2026-05-16,Plant C,MC-026,CNC Mill,14.5,Night,OP0083,R. Sharma,Packaging Unit,Copper,SteelCorp Ltd,300,595,590,10,C,Yes,29.0,47.25,77.0,36.6,3.09,156.9,31.05,187.18,7.57,82.3,5,OK,unknown issue,99.16,1.69
69,ORD-98095,2026-07-09,Plant E,MC-005,CNC Lathe,10.7,Evening,OP0049,R. Sharma,Industrial Fastener,Unknown,SteelCorp Ltd,200,305,289,5,B,Yes,30.5,42.81,65.6,56.4,1.4,129.05,23.69,61.09,8.69,50.9,30,Overdue,Line stopped briefly,94.75,1.73
70,ORD-39976,2025-12-30,Plant B,MC-036,CNC Mill,5.6,Evening,OP0014,K. Verma,Automotive Parts,Cast Iron,SteelCorp Ltd,150,446,429,10,B,Not Recorded,58.5,37.71,78.0,57.2,3.5,75.65,28.13,277.17,8.69,83.5,25,Not Scheduled,Line stopped briefly,96.19,2.33
71,ORD-16788,2026-08-28,Plant E,MC-033,CNC Mill,13.1,Evening,OP0092,L. D'Souza,Medical Device Part,Aluminum,Global Alloys,150,663,637,12,A,Not Recorded,8.7,39.38,74.3,56.9,2.39,93.75,15.75,129.87,10.89,91.5,32,Due,Material shortage,96.08,1.88
72,ORD-81919,2026-06-22,Plant B,MC-020,CNC Mill,8.4,Night,OP0103,K. Verma,Consumer Plastics,Copper,Global Alloys,50,436,402,3,B,Not Recorded,13.2,46.46,73.6,44.1,1.04,117.79,31.34,80.38,9.15,69.5,18,Scheduled,customer complaint logged,92.2,0.75
73,ORD-55706,2025-10-15,Plant E,MC-037,Press Brake,0.2,Morning,OP0053,Unknown,Industrial Fastener,Steel,SteelCorp Ltd,200,385,371,9,Not Graded,No,32.3,14.3,61.4,32.7,0.76,93.78,34.03,131.32,6.28,89.2,46,Overdue,customer complaint logged,96.36,2.43
74,ORD-96054,2026-01-26,Plant D,MC-027,Injection Molder,3.1,Evening,OP0071,A. Iyer,Automotive Parts,Aluminum,Unknown,100,580,486,14,A,Yes,58.3,68.68,60.5,56.6,0.9,125.84,40.14,461.46,10.77,83.8,3,Not Scheduled,customer complaint logged,83.79,2.88
75,ORD-86200,2025-11-08,Plant B,MC-002,CNC Mill,1.8,Morning,OP0104,N. Fernandes,Aerospace Component,Aluminum,Global Alloys,300,498,461,8,Not Graded,No,46.3,30.93,56.2,63.3,1.28,126.91,16.17,124.57,9.09,68.4,61,OK,OK,92.57,1.74
76,ORD-30503,2025-12-04,Unknown,MC-031,CNC Mill,7.3,Morning,OP0114,R. Sharma,Industrial Fastener,Steel,Precision Components Co,250,619,588,16,A,Yes,11.9,60.81,59.3,56.8,3.77,81.57,24.08,367.33,9.76,84.5,9,OK,OK,94.99,2.72
77,ORD-78995,2026-04-28,Plant D,MC-025,3D Printer,7.8,Morning,OP0040,L. D'Souza,Packaging Unit,Steel,Precision Components Co,50,580,506,8,Not Graded,Not Recorded,3.5,47.85,68.7,48.4,1.01,117.52,29.51,196.33,6.13,49.5,0,Scheduled,Late shift start,87.24,1.58
78,ORD-46564,2026-03-07,Plant C,MC-038,Welding Robot,6.2,Morning,OP0068,Unknown,Home Appliance Component,Aluminum,Global Alloys,50,506,477,6,A,Not Recorded,1.6,38.73,59.9,60.9,0.58,115.03,6.66,23.61,6.57,85.8,31,Not Scheduled,Late shift start,94.27,1.26
79,ORD-82133,2026-06-18,Plant D,MC-036,Laser Cutter,2.1,Morning,OP0038,N. Fernandes,Medical Device Part,Aluminum,Global Alloys,300,333,325,6,B,No,24.2,18.93,80.0,68.8,0.39,156.84,13.42,78.24,8.66,63.6,44,Due,Power fluctuation,97.6,1.85
80,ORD-42126,2026-07-30,Plant C,MC-019,Welding Robot,0.4,Evening,Unknown,Unknown,Consumer Plastics,Copper,SteelCorp Ltd,200,501,537,8,A,Yes,40.4,48.63,62.4,43.8,2.79,123.02,35.05,194.75,6.35,58.8,10,Overdue,Material shortage,107.19,1.49
81,ORD-76256,2026-05-19,Plant C,MC-017,Assembly Line,10.4,Evening,OP0085,Unknown,Home Appliance Component,ABS Plastic,Global Alloys,150,541,527,9,B,No,33.1,48.69,68.5,29.1,1.64,98.42,40.78,281.0,7.11,96.2,35,Due,No Remarks,97.41,1.71
82,ORD-71491,2025-11-01,Plant E,MC-034,Assembly Line,5.6,Night,Unknown,Unknown,Industrial Fastener,Copper,Unknown,200,669,597,9,A,Yes,50.8,47.41,79.6,67.8,0.63,164.65,9.37,131.32,6.5,40.8,58,Not Scheduled,Power fluctuation,89.24,1.51
83,ORD-69318,2026-08-12,Plant A,MC-036,Assembly Line,8.4,Morning,OP0090,S. Kumar,Industrial Fastener,ABS Plastic,Unknown,200,229,234,4,B,Yes,9.7,40.03,69.0,45.6,3.76,173.95,28.09,87.82,7.36,78.4,35,Overdue,customer complaint logged,102.18,1.71
84,ORD-33467,2025-10-22,Plant C,MC-033,Laser Cutter,11.5,Night,OP0067,K. Verma,Industrial Fastener,Aluminum,Precision Components Co,50,240,240,5,B,Yes,6.0,56.21,73.9,47.6,2.39,79.72,29.05,85.72,10.42,83.9,34,Not Scheduled,customer complaint logged,100.0,2.08
85,ORD-71942,2025-11-29,Plant A,MC-015,Welding Robot,11.4,Evening,OP0060,R. Sharma,Automotive Parts,Aluminum,SteelCorp Ltd,100,454,444,13,A,Not Recorded,6.9,34.1,74.5,43.9,3.18,132.35,10.8,108.1,6.55,63.7,57,Due,No Remarks,97.8,2.93
86,ORD-61306,2026-05-16,Plant B,MC-017,CNC Mill,3.2,Night,OP0020,R. Sharma,Medical Device Part,Aluminum,Unknown,200,487,466,8,B,Yes,34.1,43.3,70.2,57.0,0.86,126.22,33.58,197.77,5.49,66.7,28,Not Scheduled,unknown issue,95.69,1.72
87,ORD-22568,2026-02-20,Plant A,MC-036,CNC Lathe,8.3,Evening,OP0079,A. Iyer,Metal Bracket,ABS Plastic,SteelCorp Ltd,50,676,642,11,B,No,36.8,57.38,70.8,46.6,2.88,137.33,32.76,288.21,6.23,79.2,56,Not Scheduled,No Remarks,94.97,1.71
88,ORD-94308,2026-03-28,Plant C,MC-029,Welding Robot,12.7,Evening,OP0118,S. Kumar,Electronics Housing,ABS Plastic,Precision Components Co,50,426,432,9,A,Yes,22.8,53.33,63.4,47.0,2.45,165.04,28.43,190.67,9.1,42.2,18,OK,No Remarks,101.41,2.08
89,ORD-74299,2026-01-16,Plant B,MC-025,3D Printer,11.3,Night,OP0065,A. Iyer,Consumer Plastics,ABS Plastic,MetalWorks Pvt Ltd,150,490,412,12,A+,No,27.3,37.2,83.0,18.7,1.21,161.01,16.65,171.54,6.54,96.0,21,Scheduled,No Remarks,84.08,2.91
