Record_ID,Order_ID,Production_Date,Plant_Location,Machine_ID,Machine_Type,Machine_Age_Years,Shift,Operator_ID,Supervisor_Name,Product_Line,Raw_Material,Supplier_Name,Batch_Size,Planned_Quantity,Actual_Quantity_Produced,Defect_Count,Quality_Grade,Inspection_Passed,Downtime_Minutes,Cycle_Time_Sec,Temperature_C,Humidity_Pct,Vibration_mm_s,Energy_Consumption_kWh,Unit_Cost_USD,Scrap_Cost_USD,Labor_Hours,OEE_Percent,Last_Maintenance_Days_Ago,Maintenance_Status,Remarks
17,ORD-94620,2026-05-25,Plant C,MC-012,CNC Lathe,5.8,Evening,OP0098,  N. Fernandes  ,Automotive Parts,ABS Plastic,,150.0,499.0,531.0,14.0,A+,No,11.3,34.71,49.3,51.9,3.1,79.73,34.84,282.47,8.89,61.8,61.0,DUE,Power fluctuation
18,ORD-72344,17-Jan-2026,Plant C,MC-023,Injection Molder,6.4,Night,OP0026,N. Fernandes,Industrial Fastener,Copper,Steelcorp Ltd.,150.0,346.0,320.0,9.0,Grade A,Yes,4.6,33.9,83.5,52.7,5.8,103.63,36.1,191.82,6.9,86.7,26.0,OK,Material shortage
19,ORD-82641,07/09/2026,Plant-D,MC-034,Laser Cutter,2.1,Morning,OP0072,unknown,Metal Bracket,ABS Plastic,MetalWorks Pvt Ltd,200.0,677.0,633.0,9.0,C,Yes,13.8,62.45,71.9,32.0,0.83,94.05,34.02,285.2,8.3,69.0,32.0,OK,
20,ORD-78762,02/01/2026,Plant C,MC-034,Assembly Line,6.6,Day,OP0027,A. Iyer,Consumer Plastics,steel,SteelCorp Ltd,100.0,521.0,437.0,4.0,Grade A,Yes,34.8,41.58,57.4,50.2,3.54,146.43,11.46,43.31,7.6,53.8,17.0,ok,N/A
21,ord1259,21-Aug-2026,Plant-D,MC-024,Stamping Press,4.7,Day,OP0096,P. Rao,Consumer Plastics,Steel,Poly Materials Inc,,356.0,308.0,5.0,B,yes,1.4,-68.61,81.2,50.1,1.13,140.44,3.02,10.18,7.21,50.1,2.0,Due,OK
22,ord6318,2026-02-02,plant b,MC-031,Press Brake,3.6,Night,OP0086,R. Sharma,Home Appliance Component,ABS Plastic,Precision Components Co,100.0,682.0,-517.0,8.0,grade b,Yes,36.3,36.81,56.0,47.8,1.55,141.91,11.64,83.35,2.6,55.8,24.0,DUE,Routine check
23,ORD-36644,2026-04-16,Plant-D,MC-028,Laser Cutter,3.3,Evening,OP0084,N. Fernandes,Metal Bracket,ALUMINUM,Precision Components Co,,483.0,479.0,7.0,,Y,32.6,43.53,82.8,75.5,3.02,127.98,28.16,166.91,8.35,49.5,15.0,,Routine check
24,ORD-69863,02/10/2025,  Plant A  ,MC-006,Injection Molder,7.3,morning,OP0012,M. Naidu,Metal Bracket,Steel,global alloys,,396.0,409.0,11.0,Reject,yes,18.6,42.92,68.0,72.4,2.02,117.25,31.47,335.28,9.45,59.7,34.0,,N/A
25,ORD-61789,20/04/2026,plant b,MC-013,Assembly Line,12.7,Evening,OP0076,unknown,Packaging Unit,Steel,,200.0,314.0,290.0,5.0,  B  ,Yes,16.7,55.67,63.0,56.1,2.12,122.29,33.84,145.29,7.11,78.0,24.0,DUE,Line stopped briefly
26,ORD-64123,2025-10-30,Plant B,MC-009,CNC Mill,14.0,Night,OP0056,A. Iyer,Electronics Housing,Aluminum,Steelcorp Ltd.,300.0,562.0,526.0,13.0,grade b,Yes,5.1,33.68,75.7,53.6,0.74,122.77,4.91,61.64,8.13,71.1,27.0,ok,Line stopped briefly
27,ORD-25647,2026/05/20 22:16,PLANT A,MC-031,Welding Robot,7.0,1st Shift,OP0062,"D'Souza, L.",Industrial Fastener,,Steelcorp Ltd.,100.0,402.0,345.0,8.0,A+,yes,8.5,60.5,71.8,42.7,2.67,51.68,22.57,111.26,8.97,46.1,63.0,Overdue,Routine check
28,ORD-22990,2025-11-22,Plant E,MC-031,Laser Cutter,3.0,Night,OP0036,"D'Souza, L.",Medical Device Part,ALUMINUM,Steelcorp Ltd.,200.0,495.0,471.0,9.0,grade b,Yes,2.1,57.42,64.2,45.4,2.77,163.9,27.0,204.92,6.74,71.8,12.0,Due,Material shortage
29,ORD-10423,07/10/2025,Plant A,MC-021,3D Printer,13.8,2nd Shift,OP0075,S. Kumar,Home Appliance Component,Steel,Precision Components Co,250.0,480.0,424.0,8.0,C,NO,0.2,37.89,76.5,51.3,3.27,166.85,20.27,141.04,6.18,52.0,15.0,N/A,Routine check
30,ORD-21869,2025-12-15,Plant A,MC-029,Stamping Press,9.6,Evening,,,Industrial Fastener,Aluminum,Global Alloys,300.0,536.0,463.0,16.0,Reject,Yes,37.5,48.96,72.9,58.2,1.46,147.77,9.67,133.45,9.95,56.1,73.0,N/A,unknown issue
31,ORD-30898,2025-10-26,Plant E,MC-034,3D Printer,8.3,Night,OP0039,R. Sharma,Home Appliance Component,Polycarbonate,Steelcorp Ltd.,300.0,663.0,619.0,15.0,grade b,,10.3,55.29,65.2,41.9,4.83,140.91,23.86,326.13,8.12,68.5,85.0,ok,Routine check
32,ORD-27713,2026-05-13,Plant A,MC-022,CNC Lathe,3.0,Evening,OP0074,M. Naidu,Industrial Fastener,ALUMINUM,Poly Materials Inc,50.0,458.0,341.0,8.0,Grade A,No,22.4,52.16,70.7,29.3,1.85,138.66,20.23,118.53,9.03,55.5,28.0,N/A,unknown issue
33,ORD-77739,05-27-2026,Plant C,MC-004,Welding Robot,0.9,Day,OP0087,A. Iyer,Consumer Plastics,steel,,50.0,491.0,457.0,8.0,A+,Y,18.8,65.38,60.4,54.5,2.71,143.29,27.77,144.52,6.61,87.0,13.0,ok,N/A
34,ORD-60353,21/06/2026,Plant C,MC-026,CNC Mill,1.5,Morning,OP0069,K. Verma,Aerospace Component,Polycarbonate,global alloys,300.0,480.0,454.0,8.0,A+,NO,51.1,45.2,75.1,60.6,2.31,78.15,4.19,24.46,5.31,55.9,1.0,OK,Material shortage
35,ORD-63967,04-Jul-2026,Plant B,MC-029,Welding Robot,10.8,Evening,,unknown,Consumer Plastics,steel,Poly Materials Inc,250.0,522.0,504.0,10.0,grade b,N,47.2,37.1,72.1,33.2,2.18,135.64,7.45,66.97,6.94,75.5,26.0,,
36,ORD-30484,2026-07-06,Plant A,MC-032,Injection Molder,9.9,morning,OP0063,M. Naidu,Automotive Parts,steel,Steelcorp Ltd.,,628.0,662.0,20.0,A,No,22.0,43.3,62.8,49.9,1.41,,36.99,474.6,6.91,70.1,16.0,OK,  Late shift start 
37,ORD-58908,14-Apr-2026,Plant C,MC-020,Conveyor Unit,4.9,Night,OP0060,P. Rao,Home Appliance Component,Polycarbonate,,200.0,704.0,592.0,14.0,A+,No,0.7,41.67,58.7,42.6,2.05,143.09,15.68,164.72,10.38,87.1,29.0,,customer complaint logged
38,ORD-64358,2026-04-27,Plant B,MC-034,3D Printer,10.6,Day,OP0046,A. Iyer,Metal Bracket,Polycarbonate,Poly Materials Inc,200.0,368.0,367.0,9.0,,Yes,19.6,27.45,70.6,1.6,3.15,81.37,29.87,243.07,7.52,81.4,51.0,N/A,
39,ORD-46582,04-Apr-2026,plant b,MC-039,Press Brake,14.3,Night,OP0073,K. Verma,Aerospace Component,Steel,Global Alloys,100.0,320.0,281.0,4.0,A+,No,550.0,46.89,62.1,35.8,1.54,106.51,43.06,169.1,9.85,53.4,71.0,ok,Power fluctuation
40,ORD-20929,02-03-2026,Plant A,MC-030,Injection Molder,14.3,morning,OP0096,N. Fernandes,Medical Device Part,ABS Plastic,Steelcorp Ltd.,200.0,444.0,376.0,11.0,grade b,Yes,0.4,49.79,56.1,42.1,3.77,118.0,28.14,162.68,9.95,58.1,5.0,OK,Power fluctuation
41,ORD-91075,2025-10-20,Plant C,MC-019,Injection Molder,14.0,NIGHT,OP0018,N. Fernandes,Electronics Housing,Polycarbonate,Poly Materials Inc,100.0,535.0,505.0,9.0,A+,,21.5,37.94,76.3,59.8,2.38,100.04,33.5,295.38,6.89,78.7,26.0,DUE,
42,ORD-15156,10-16-2025,Plant A,MC-037,Stamping Press,13.6,,OP0051,P. Rao,Consumer Plastics,Aluminum,,150.0,589.0,551.0,11.0,A,,24.5,65.23,64.6,49.9,4.33,134.82,29.83,296.34,9.54,62.9,30.0,N/A,Power fluctuation
43,ORD-61288,23/07/2026,  Plant-D  ,MC-022,Welding Robot,7.0,2nd Shift,OP0081,K. Verma,Consumer Plastics,Copper,SteelCorp Ltd,50.0,451.0,412.0,5.0,A+,,33.7,43.66,76.5,37.1,1.65,107.24,4.66,20.45,7.69,74.6,37.0,ok,  Late shift start 
44,ORD-82580,03-Feb-2026,plant b,MC-016,Conveyor Unit,9.0,Night,OP0090,A. Iyer,Home Appliance Component,ABS Plastic,MetalWorks Pvt Ltd,100.0,594.0,554.0,5.0,grade b,Y,27.7,58.59,50.0,40.0,3.67,107.52,16.78,62.03,6.64,88.9,6.0,N/A,Line stopped briefly
45,ORD-85660,16/04/2026,PLANT A,MC-022,Press Brake,1.9,Day,OP0098,P. Rao,Medical Device Part,ABS Plastic,,300.0,530.0,416.0,4.0,B,Yes,41.2,10.76,65.2,63.5,2.77,164.34,19.37,46.02,6.23,83.1,24.0,Overdue,  Late shift start 
46,ORD-64708,2026-03-08,Plant A,MC-003,Stamping Press,1.7,Night,OP0058,  A. Iyer  ,Medical Device Part,Copper,,150.0,453.0,424.0,8.0,Grade A,Yes,57.6,56.08,76.3,49.4,2.88,76.87,11.69,90.61,9.91,62.7,85.0,Due,  Late shift start 
47,ORD-96766,2026-03-08,Plant C,MC-013,CNC Lathe,3.3,Morning,OP0074,M. Naidu,Electronics Housing,Steel,SteelCorp Ltd,250.0,466.0,486.0,13.0,grade b,Yes,26.6,61.11,65.5,60.5,0.5,157.89,30.42,365.64,5.65,73.5,67.0,OK,Routine check
48,ORD-34625,16-Mar-2026,Plant E,MC-027,CNC Mill,8.0,Evening,OP0073,N. Fernandes,Consumer Plastics,Copper,  Precision Components Co  ,100.0,772.0,616.0,12.0,A+,Yes,34.6,46.31,51.1,46.1,2.54,43.28,30.5,341.04,9.07,85.2,3.0,DUE,N/A
49,ORD-95877,07-21-2026,Plant C,MC-038,CNC Lathe,5.9,Morning,OP0051,unknown,Industrial Fastener,Aluminum,MetalWorks Pvt Ltd,100.0,440.0,433.0,10.0,,,18.1,33.97,58.1,36.8,4.75,105.55,33.73,324.78,9.2,97.1,45.0,Overdue,Power fluctuation
50,ORD-52762,2026/06/09 02:10,Plant A,MC-010,Welding Robot,7.8,2nd Shift,OP0115,K. Verma,Medical Device Part,Aluminum,,150.0,825.0,749.0,14.0,B,,25.4,62.9,78.5,42.5,1.92,155.12,3.31,29.93,8.29,67.7,46.0,Overdue,customer complaint logged
51,ORD-86095,04-21-2026,Plant C,MC-033,Press Brake,4.7,Night,OP0107,P. Rao,Packaging Unit,Polycarbonate,Global Alloys,150.0,452.0,400.0,8.0,  B  ,Yes,49.6,49.25,75.0,46.7,1.99,124.67,36.61,174.69,4.73,69.8,3.0,OK,
52,ORD-71153,2025-11-23,Plant-D,MC-036,Press Brake,10.4,  Morning  ,OP0048,P. Rao,Electronics Housing,Copper,Poly Materials Inc,100.0,565.0,524.0,9.0,Grade A,No,15.7,41.34,66.2,40.2,3.21,126.79,29.65,167.35,8.73,73.4,30.0,Overdue,customer complaint logged
53,ORD-44676,08-28-2026,Plant B,MC-006,CNC Mill,6.6,Morning,OP0114,M. Naidu,Electronics Housing,ABS Plastic,Steelcorp Ltd.,150.0,302.0,283.0,9.0,,,28.9,33.59,67.9,47.1,2.05,182.76,18.09,118.55,4.07,83.4,33.0,N/A,customer complaint logged
54,ORD-83048,07-24-2026,Plant B,MC-006,Welding Robot,5.3,Evening,OP0070,K. Verma,Industrial Fastener,  ABS Plastic  ,Global Alloys,150.0,804.0,781.0,14.0,grade b,Y,41.8,38.01,75.7,17.2,1.8,141.98,12.05,147.96,10.5,66.2,21.0,,unknown issue
55,ORD-11856,03/11/2025,Plant E,MC-032,Conveyor Unit,7.8,Morning,OP0020,unknown,Consumer Plastics,Aluminum,Global Alloys,250.0,592.0,555.0,9.0,Grade A,Y,54.8,35.78,74.9,46.4,0.79,101.35,11.08,87.43,8.02,63.7,1.0,Scheduled,  Late shift start 
56,ORD-98842,04-Apr-2026,Plant B,MC-010,Press Brake,10.6,Morning,OP0014,A. Iyer,Industrial Fastener,,Poly Materials Inc,,615.0,538.0,11.0,grade b,N,0.3,42.77,61.4,68.7,0.07,219.17,10.54,60.75,6.75,73.3,47.0,,Material shortage
57,ORD-39423,2026/09/04 07:44,PLANT A,MC-015,Laser Cutter,0.8,Day,OP0073,A. Iyer,Automotive Parts,ALUMINUM,global alloys,100.0,496.0,430.0,8.0,,yes,8.9,37.92,79.7,17.3,3.71,100.95,30.02,139.6,6.28,96.0,19.0,ok,Line stopped briefly
58,ORD-20919,2026-07-10,plant b,MC-040,CNC Lathe,6.0,Morning,OP0061,M. Naidu,Packaging Unit,Steel,Precision Components Co,200.0,483.0,434.0,8.0,grade b,yes,1.2,40.22,58.4,26.5,4.01,147.84,21.64,168.18,9.33,77.5,33.0,N/A,Power fluctuation
59,ORD-26548,25-Jan-2026,Plant C,MC-028,Assembly Line,3.5,Morning,OP0109,K. Verma,Automotive Parts,  ALUMINUM  ,Poly Materials Inc,300.0,402.0,346.0,8.0,Grade A,,8.8,38.93,67.1,31.5,1.93,77.78,2.54,17.92,8.31,90.4,1.0,,Line stopped briefly
60,ORD-63559,2026-01-22,Plant E,MC-020,Laser Cutter,2.3,Morning,OP0012,K. Verma,Packaging Unit,Copper,global alloys,200.0,574.0,659.0,14.0,Grade A,Yes,51.9,35.72,74.2,40.6,1.43,94.34,44.97,598.58,7.07,105.6,22.0,DUE,
61,ORD-15613,06-23-2026,Plant-D,MC-016,CNC Mill,11.1,Evening,OP0079,S. Kumar,Home Appliance Component,Steel,,300.0,546.0,468.0,11.0,grade b,,9.7,46.79,76.2,64.7,0.21,120.9,36.16,301.32,8.99,56.4,37.0,OK,unknown issue
62,ORD-90065,28-Oct-2025,plant b,MC-022,Stamping Press,4.1,Night,OP0015,A. Iyer,Metal Bracket,Steel,  MetalWorks Pvt Ltd  ,100.0,434.0,433.0,4.0,Reject,Y,34.8,44.8,70.3,40.5,4.37,84.36,5.5,12.81,7.58,50.8,23.0,Scheduled,customer complaint logged
63,ORD-74007,2025-11-27,Plant B,MC-026,CNC Mill,12.7,Day,OP0048,R. Sharma,Medical Device Part,ALUMINUM,,100.0,496.0,463.0,3.0,A+,No,64.5,57.12,67.3,43.0,1.61,70.61,7.69,21.2,5.64,79.5,0.0,,unknown issue
64,ORD-36179,2026/03/15 08:25,Plant E,MC-016,CNC Mill,3.4,Morning,OP0054,A. Iyer,Packaging Unit,Polycarbonate,  SteelCorp Ltd  ,100.0,264.0,214.0,2.0,B,No,59.2,51.02,63.0,36.4,2.09,80.57,8.61,11.38,7.35,81.2,25.0,OK,unknown issue
65,ord4287,31/12/2025,Plant B,MC-027,Press Brake,13.1,Evening,OP0010,,Metal Bracket,Aluminum,global alloys,150.0,196.0,177.0,6.0,A,Yes,14.2,38.19,54.3,47.9,2.45,181.92,7.8,41.5,7.41,86.1,37.0,Overdue,Power fluctuation
66,ORD-89244,06-12-2026,  Plant C  ,MC-012,3D Printer,8.3,NIGHT,OP0077,K. Verma,Home Appliance Component,Copper,Precision Components Co,100.0,350.0,293.0,5.0,grade b,No,50.5,48.25,53.5,51.1,0.59,169.24,33.05,84.07,7.63,91.3,29.0,Overdue,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,ORD-66980,2026-05-16,  Plant C  ,MC-026,CNC Mill,14.5,NIGHT,OP0083,R. Sharma,Packaging Unit,Copper,Steelcorp Ltd.,300.0,595.0,590.0,10.0,C,Yes,29.0,47.25,77.0,36.6,3.09,156.9,31.05,187.18,7.57,82.3,5.0,OK,unknown issue
69,ORD-98095,09/07/2026,Plant E,MC-005,CNC Lathe,10.7,Evening,OP0049,R. Sharma,Industrial Fastener,,Steelcorp Ltd.,200.0,305.0,289.0,5.0,grade b,Yes,30.5,42.81,65.6,56.4,1.4,129.05,23.69,61.09,8.69,50.9,30.0,Overdue,Line stopped briefly
70,ORD-39976,2025-12-30,Plant B,MC-036,CNC Mill,5.6,Evening,OP0014,K. Verma,Automotive Parts,Cast Iron,  SteelCorp Ltd  ,,446.0,429.0,10.0,B,,58.5,37.71,78.0,57.2,3.5,75.65,28.13,277.17,8.69,83.5,25.0,,Line stopped briefly
71,ORD-16788,28/08/2026,Plant E,MC-033,CNC Mill,13.1,Evening,OP0092,"D'Souza, L.",Medical Device Part,Aluminum,global alloys,,663.0,637.0,12.0,Grade A,,8.7,39.38,74.3,56.9,2.39,93.75,15.75,129.87,10.89,91.5,32.0,DUE,Material shortage
72,ORD-81919,22/06/2026,Plant B,MC-020,CNC Mill,8.4,Night,OP0103,K. Verma,Consumer Plastics,Copper,Global Alloys,50.0,436.0,402.0,3.0,grade b,,13.2,46.46,73.6,44.1,1.04,117.79,31.34,80.38,9.15,69.5,18.0,Scheduled,customer complaint logged
73,ORD-55706,2025-10-15,Plant E,MC-037,Press Brake,0.2,morning,OP0053,unknown,Industrial Fastener,Steel,SteelCorp Ltd,200.0,385.0,371.0,99999.0,,NO,32.3,14.3,61.4,32.7,0.76,93.78,34.03,,6.28,89.2,46.0,Overdue,customer complaint logged
74,ORD-96054,26/01/2026,Plant-D,MC-027,Injection Molder,3.1,2nd Shift,OP0071,A. Iyer,Automotive Parts,Aluminum,,100.0,580.0,486.0,14.0,  A  ,Yes,58.3,68.68,60.5,56.6,0.9,125.84,40.14,461.46,10.77,83.8,3.0,N/A,customer complaint logged
75,ORD-86200,08/11/2025,Plant B,MC-002,CNC Mill,1.8,Morning,OP0104,N. Fernandes,Aerospace Component,ALUMINUM,global alloys,300.0,498.0,461.0,8.0,,No,46.3,30.93,56.2,63.3,1.28,126.91,16.17,124.57,9.09,68.4,61.0,OK,OK
76,ORD-30503,12-04-2025,,MC-031,CNC Mill,7.3,Morning,OP0114,R. Sharma,Industrial Fastener,steel,Precision Components Co,250.0,619.0,588.0,16.0,Grade A,yes,11.9,60.81,59.3,56.8,3.77,81.57,24.08,367.33,9.76,84.5,9.0,ok,OK
77,ORD-78995,04-28-2026,Plant-D,MC-025,3D Printer,7.8,1st Shift,OP0040,"D'Souza, L.",Packaging Unit,Steel,Precision Components Co,50.0,580.0,506.0,8.0,,,3.5,47.85,68.7,48.4,1.01,117.52,29.51,196.33,6.13,49.5,0.0,Scheduled,  Late shift start 
78,ORD-46564,2026-03-07,Plant C,MC-038,Welding Robot,6.2,1st Shift,OP0068,unknown,Home Appliance Component,ALUMINUM,Global Alloys,50.0,506.0,477.0,6.0,A,,1.6,38.73,59.9,60.9,0.58,115.03,6.66,23.61,6.57,85.8,31.0,N/A,  Late shift start 
79,ORD-82133,18/06/2026,Plant-D,MC-036,Laser Cutter,2.1,Morning,OP0038,N. Fernandes,Medical Device Part,ALUMINUM,global alloys,300.0,333.0,325.0,6.0,B,N,24.2,18.93,80.0,68.8,0.39,156.84,13.42,78.24,8.66,63.6,44.0,DUE,Power fluctuation
80,ORD-42126,07-30-2026,Plant C,MC-019,Welding Robot,0.4,2nd Shift,,unknown,Consumer Plastics,Copper,SteelCorp Ltd,200.0,501.0,537.0,8.0,A,Yes,40.4,48.63,62.4,43.8,2.79,123.02,35.05,194.75,6.35,58.8,10.0,Overdue,Material shortage
81,ORD-76256,19/05/2026,Plant C,MC-017,Assembly Line,10.4,Evening,OP0085,unknown,Home Appliance Component,ABS Plastic,global alloys,,541.0,527.0,9.0,B,No,33.1,48.69,68.5,29.1,1.64,98.42,40.78,281.0,7.11,96.2,35.0,Due,
82,ORD-71491,2025-11-01,Plant E,MC-034,Assembly Line,5.6,Night,,unknown,Industrial Fastener,Copper,,200.0,669.0,597.0,99999.0,A,Yes,50.8,47.41,79.6,67.8,0.63,164.65,9.37,,6.5,40.8,58.0,,Power fluctuation
83,ORD-69318,12-Aug-2026,Plant A,MC-036,Assembly Line,8.4,morning,OP0090,S. Kumar,Industrial Fastener,ABS Plastic,,200.0,229.0,234.0,4.0,B,Yes,9.7,40.03,69.0,45.6,3.76,173.95,28.09,87.82,7.36,78.4,35.0,Overdue,customer complaint logged
84,ORD-33467,2025-10-22,Plant C,MC-033,Laser Cutter,11.5,Night,OP0067,K. Verma,Industrial Fastener,ALUMINUM,Precision Components Co,50.0,240.0,240.0,5.0,grade b,Y,6.0,56.21,73.9,47.6,2.39,79.72,29.05,85.72,10.42,83.9,34.0,N/A,customer complaint logged
85,ORD-71942,2025-11-29,Plant A,MC-015,Welding Robot,11.4,Evening,OP0060,R. Sharma,Automotive Parts,ALUMINUM,  SteelCorp Ltd  ,100.0,454.0,444.0,13.0,Grade A,,6.9,34.1,74.5,43.9,3.18,132.35,10.8,108.1,6.55,63.7,57.0,Due,N/A
86,ORD-61306,2026-05-16,Plant B,MC-017,CNC Mill,3.2,Night,OP0020,R. Sharma,Medical Device Part,ALUMINUM,,200.0,487.0,466.0,8.0,B,Yes,34.1,43.3,70.2,57.0,0.86,126.22,33.58,197.77,5.49,66.7,28.0,,unknown issue
87,ORD-22568,2026-02-20,  Plant A  ,MC-036,CNC Lathe,8.3,Evening,OP0079,A. Iyer,Metal Bracket,ABS Plastic,Steelcorp Ltd.,50.0,676.0,642.0,11.0,grade b,No,36.8,57.38,70.8,46.6,2.88,137.33,32.76,288.21,6.23,79.2,56.0,N/A,N/A
88,ORD-94308,2026-03-28,Plant C,MC-029,Welding Robot,12.7,Evening,OP0118,S. Kumar,Electronics Housing,ABS Plastic,Precision Components Co,50.0,426.0,432.0,9.0,A,Yes,22.8,53.33,63.4,47.0,2.45,165.04,28.43,190.67,9.1,42.2,18.0,ok,
89,ORD-74299,2026-01-16,Plant B,MC-025,3D Printer,11.3,NIGHT,OP0065,A. Iyer,Consumer Plastics,ABS Plastic,MetalWorks Pvt Ltd,150.0,490.0,412.0,12.0,A+,NO,27.3,37.2,83.0,18.7,1.21,161.01,16.65,171.54,6.54,96.0,21.0,Scheduled,
90,ORD-84340,2026-02-25,plant b,MC-010,Welding Robot,8.0,Morning,OP0020,N. Fernandes,Consumer Plastics,Steel,Poly Materials Inc,50.0,514.0,487.0,10.0,A,Yes,31.5,37.63,81.9,46.5,2.98,149.42,23.52,148.74,9.5,74.5,63.0,OK,OK
